index,name,Producer,Region/Appellation,Grape/Blend,Food Suggestion,Wine Style,Alcohol Content,instance,vivino_wine,id,winery,region,style,varietal_name,regional_name,body,acidity,style_description,ratings_count,ratings_average,vintage_description,ranking_region,ranking_global,added_sulfites,biodynamic,wine_description,country_name,type_id,type
58,Costières de Nîmes 2017 Mary Taylor,,Costieres de Nimes,Grenache - Mourvedre - Syrah,Lamb,Rich and Intense,,"Wine: Costières de Nîmes 2017 Mary Taylor, Source: name-search",Mary Taylor Pierre Vidal Costières-de-Nîmes,158494162,Mary Taylor,Costières-de-Nîmes,Southern Rhône Red,Red,Southern Rhône,4,3,"The Southern Rhône is situated in a large, sprawling valley, shaped by the course of the Rhône River. A Mediterranean climate makes the Southern Rhône Valley one of the warmest wine growing regions in France.

Grape varieties that thrive in the region are well-suited to the hot, humid summers, and Grenache, Syrah, and Mourvèdre are by far the most common plantings.

The vast majority of Rhône wines found on the market are labeled as Côtes du Rhône AOC (Appellation d'Origine Contrôlée). Many are excellent and inexpensive, making them one of the most consumer-friendly French wines to explore. Stylistically, they are rich, easy-drinking wines with moderate tannins and alcohol levels that fall between 14-15%.

Châteauneuf-du-Pape is one of the better-known sub-regions of the Southern Rhône, and while the wines can be somewhat expensive, the quality is generally exceptional.

Grenache is by far the predominant grape found in Châteauneuf-du-Pape blends, and lends jammy red and black fruit notes along with flavors of earth, leather and spice and dried herbs.

The Southern Rhône also produces white wines, though in much smaller portion, typically these are made from Marsanne, Roussanne and Viognier. Rosé wines can be found as well and Tavel is famous for its vibrant, slightly spicy, salmon-hued rosés.",125,3.8,,0.06008376811666596,0.06921596361177823,,,"This is a fleshy but elegant wine, with an enveloping core of spicy dark berries and a firm grip of tannins. But beyond the fruit, it’s the expression of the soil that gives the wine its true identity.",France,1,Red
59,Brunello di Montalcino 1.5L 2013 Il Palazzone,Il Palazzone,Brunello di Montalcino,Sangiovese,Beef and Venison,Bold and Structured,13.5 - 14.5%,"Wine: Brunello di Montalcino 1.5L 2013 Il Palazzone, Source: name-search",Il Palazzone Brunello di Montalcino,1997855,Il Palazzone,Brunello di Montalcino,Italian Brunello,Brunello,Italian,5,3,"From Tuscany in central Italy, Brunello enjoys a distinction as one of Italy's most favored wines.

Brunello ages well and is great for collecting. The wine is bold, rich, and full-bodied. Red and black fruit assertively grace the nose and palate.

Brunello is made totally from Sangiovese grapes that take on the characteristics of the soil, vegetation and climate of the region in which it is grown.

Layered aromas and velvety tannins complement medium-high acidity. Consider decanting this wine to enjoy its full complexity.

This wine pairs well with big protein ladened dishes. You may also enjoy it with salted cheeses and cured meats. Try to avoid pairing with dishes where the wine would overwhelm flavors, such as leafy greens and subtly seasoned meats.",1061,4.3,,0.008477165462048838,0.004254535477639259,,,"Intense ruby red with deep garnet hues. The bouquet is intense and ethereal with aromas ranging from dark fruit and berries to chocolate, coffee, leather, liquorice and balsamic notes. The wines are silky and elegant, potent yet balanced and characterised by sweet tannins. Il Palazzone Brunellos are beautifully balanced with all the promise of their bouquet fulfilled in the mouth and finish.",Italy,1,Red
61,Cabernet Sauvignon 2016 Grapesmith & Crusher,Grapesmith & Crusher,Columbia Valley,Cabernet Sauvignon,Beef and Venison,Bold and Structured,,"Wine: Cabernet Sauvignon 2016 Grapesmith & Crusher, Source: name-search",Grapesmith & Crusher Cabernet Sauvignon,4920286,Grapesmith & Crusher,Columbia Valley,Washington State Cabernet Sauvignon,Cabernet Sauvignon,Washington State,4,3,"With fruit-forward flavors of black cherry, blackberry and boysenberry, as well as chocolate, leather, graphite, mint and dried herbs.

Washington Cabs are supple and velvety in texture, and pair beautifully with braised short ribs, veal chops, lamb shanks, roasted winter vegetables and, of course, burgers.

Cabernet Sauvignon leads the charge in Washington State—it is currently the most widely planted red wine grape in the Evergreen State with just over 10,000 acres in production.

While Washington's growing regions are varied geologically speaking, many are thought to be premium sites that are well-suited to hearty varieties like Cabernet Sauvignon.

Cabernet grown in Washington has been celebrated as having the perfect combination of ripeness of fruit that California Cabernet possesses with the finesse and structure of Old World Cabernet (think Bordeaux) As the new kid on the block ,it's not yet as expensive as California Cab and is a great starting point to learn the varietal.

Top AVAs (American Viticultural Area) to explore in Washington are Walla Walla, Red Mountain and Horse Heaven Hills. A budget-conscious shopper can find excellent Cabernet Sauvignon for well under $20.",648,3.8,,0.11381181529640627,0.08822314679441966,,,"Big, bold flavors of dark plum, rich cassis, and currant, with a touch of cinnamon, vanilla, and persimmon. The wine is soft and smooth on the palate, and the well-integrated oak adds a pleasing spice note.",United States,1,Red
62,Chianti 2015 L'Arco,L'Arco Vini,Chianti,Chianti Blend,Lamb,Savory and Classic,,"Wine: Chianti 2015 L'Arco, Source: name-search",L'Arco Chianti,4947739,L'Arco,Chianti,Italian Chianti,Chianti,Italian,3,3,"The most commonly consumed wine in Italy, and interestingly, the most commonly consumed Italian wine in the world, Chianti is emblematic of what Italy means to the world of wine.

Fermented primarily from Sangiovese, fresh cherry,  strawberries, and red plum pleasure the senses when enjoying this wine.

Winemakers have spent the last couple of decades trying to change the old image of Chianti: Wine bottles in wicker basket, interestingly also called fiascoes. They've done so by  by producing very nice wines through state of the art growing and fermentation techniques.

Chianti is a red wine that comes from Tuscany, but can contain small amounts of white grapes during blending. This is not the case with Chianti Classico, which must be solely made from red Sangiovese grapes.

Chianti is not considered to age well, and loses steam quickly.  Find the youngest bottle you can to get the most out of its vibrance.

This wine is versatile and its high acidity allows it to be eaten with a wide range of foods.  Enjoy Chianti best with fast food, pizza, red pasta, and salami sandwiches.",507,3.4,,0.23933970222759296,0.18298970901867143,,,,Italy,1,Red
63,Riesling Kabinett Morstein 2018 Seehof,Weingut Seehof,Westhofen,Riesling,Fruit-based Desserts,Lush and Balanced,,"Wine: Riesling Kabinett Morstein 2018 Seehof, Source: name-search",Seehof Riesling Kabinett Morstein,3567683,Seehof,Rheinhessen,German Riesling,Riesling,German,2,3,"Riesling is without question Germany's favorite grape. Widely planted, though once derided, Riesling is the superstar of the white wine world at the moment.

There is a lot of scope for versatility with this sweet, viscous wine, though you can expect to get hints of tropical fruit, nectarine, melon and pineapple from a solid Riesling.

The grape originated in the Rhine region of Germany, and the best of them are said to grow along the banks of the Mosel River on the beautiful steep, south facing hills.

There are six categories of Riesling which indicate the ripeness of the grapes. Kabinett is considered “off-dry” and is a typically ripe grape. Spätlese is riper and therefor sweeter, and Auslese is even riper still. Beyond on that you have Beerenauslese, Trockenbeerenauslese and Eiswein (or ice wine), all getting sweeter, more viscous and more expensive.

It's a favorite in the food and beverage industry because of its willingness to play with a wide variety of foods, particular spicy dishes. The current Asian fusion boom is thought to have had a tremendous effect on Riesling's popularity.",138,3.9,,0.013541857843265778,0.04659720081042726,,,,Germany,2,White
66,Vinos de Montaña 2017 Peninsula Vinicultores,,Spain,Rare Red Blend,Lamb,Rich and Intense,,"Wine: Vinos de Montaña 2017 Peninsula Vinicultores, Source: name-search",Península Vinicultores Viñedos Viejos Vino de Montana,157166364,Península Vinicultores,Madrid,Spanish Red,Red,Spanish,4,3,"The savory red wines of Spain are brooding and complex. They are typically a little lighter than a California Cabernet, but richer and fuller than a Pinot Noir.

The most commonly used red grapes in Spain are the lovely Tempranillo grape and the rich Garnacha, but Cabernet Sauvignon is starting to get popular as well.

The main grape in Spain is Tempranillo, which is followed closely by Garnacha. In the past, Spanish reds were know to be worthy of aging for decades and were very expensive because of this. Now that technology is more available they are making more affordable, fruitier wines.

The most famous red wine in Spain is Rioja and it is made from the Tempranillo grape. Rioja is usually very complex and savory. Another famous wine is Priorat which is made largely from Garnacha and lush with dark fruit, spice, and vanilla.

Sometimes Rioja and Priorat wines can be very pricey due to their long aging, but often those same wineries make much more affordable wines that are aged for less time, but are still delicious!",647,3.5,,0.11824123588829472,0.150254987981405,,,,Spain,1,Red
67,Cava Brut Nature NV Camps d'Estels,New Vinergia 2005 S.L.,Cava,Cava Blend,Manchego and Parmesan,Fresh and Youthful,11.5%,"Wine: Cava Brut Nature NV Camps d'Estels, Source: name-search",Camps d’Estels Brut Nature,9474080,Camps d’Estels,Cava,Spanish Cava,Cava,Spanish,2,3,,65,3.7,,0.0939655172413793,0.1467660597327234,,,,Spain,3,Sparkling
68,Brut Método Tradicional 2016 Cave Geisse,Vinicola Geisse,Serra Gaucha,Chardonnay - Pinot Noir,White Fish,Fresh and Youthful,12 - 20%,"Wine: Brut Método Tradicional 2016 Cave Geisse, Source: name-search",Joios Cava Brut Metodo Tradicional,15274092,Joios,Cava,Spanish Cava,Cava,Spanish,2,3,,14,3.6,,0.2521551724137931,0.266404377219627,,,,Spain,3,Sparkling
69,Kosher Cava NV Taanug,Pinord,Cava,Cava Blend,Manchego and Parmesan,Fresh and Youthful,,"Wine: Kosher Cava NV Taanug, Source: name-search",Pinord Cava Brut Taanug,7915775,Pinord,Cava,Spanish Cava,Cava,Spanish,2,3,,264,3.5,,0.15844027640671274,0.15225828148365503,,,"A bright, pale yellow, straw coloured cava with considerable effervescence of small and medium-sized bubbles.Intense aroma with a character of its own.Long lasting foam. A fresh palate with fruity aromas from the bottle ageing. Smooth, silky and fresh. Long-lasting in the mouth. ",Spain,3,Sparkling
70,Pinot Noir 2018 Delta Vineyard,The Delta Wine Company,Marlborough,Pinot Noir,Meaty and Oily Fish,Light and Perfumed,13 - 14%,"Wine: Pinot Noir 2018 Delta Vineyard, Source: name-search",Belle Glos Las Alturas Vineyard Pinot Noir,1603788,Belle Glos,Santa Lucia Highlands,Californian Pinot Noir,Pinot Noir,Californian,3,3,"Pinot Noir has the well deserved reputation of being a finicky and difficult grape to cultivate. It thrives in cooler climates like Burgundy and the Willamette Valley in Oregon, but is also widely planted throughout sun-drenched California.

Pinot Noir reflects its terroir, or place of origin, more than just about any other variety. That's certainly part of its broad appeal, and right now, there is revolution happening in California.

In Pursuit of Balance or IPOB is a thriving group of producers founded on the notion that California Pinot Noir should be balanced, rather than decadent and lush—the prevailing style over the past few decades. Has the focus shifted? There are compelling arguments on both sides of the issue.

It pays to do a little research, then, to figure out which producers are making fully ripe, high octane Pinots and those that are making a style that accents subtlety and vibrant acidity. Not that both styles can't be great, they can be.

Richer Pinot Noir, from warmer regions like the Russian River Valley tends to exhibit more dark fruit, in general, they are fuller wines with greater concentration and higher alcohol, up to 15% ABV.

Pinots from cooler regions like Sonoma Coast are lighter-bodied and display more red fruit, floral notes and have brighter acidity, often with a dash of minerality. Alcohol percentage and even the color of the wine can clue you in when shopping.",24456,4.4,,0.01044526280549046,0.0008130284824210057,,,"Dense, concentrated ruby color, hinting at the dark berry fruits and rich, textural components in this wine. On the nose, aromas of raspberry, wild blackberry and a slight earthiness. The palate is supple and layered with exotic spices, a rich meatiness, ripe plum, currant and black cherry flavors. The ripe tannins are nicely balanced with acidity, and the finish is long and fulfilling.",United States,1,Red
71,Sangiovese 2015 Massoferrato,,Toscana IGT,Sangiovese,Beef and Venison,Bold and Structured,,"Wine: Sangiovese 2015 Massoferrato, Source: name-search",Massoferrato Sangiovese,4967320,Massoferrato,Chianti Colli Fiorentini,Tuscan Red,Red,Tuscan,3,2,,128,3.8,,0.10615381107640393,0.0689385891062647,,,,Italy,1,Red
73,"Cagnina ""Dolce Viola"" 2019 Tenuta Amalia",Tenuta Amalia,Romagna,Refosco,Chocolate and Caramel,Lush and Balanced,,"Wine: Cagnina ""Dolce Viola"" 2019 Tenuta Amalia, Source: name-search",Tenuta Amalia Dolce Viola Cagnina,3418027,Tenuta Amalia,Emilia-Romagna,Northern Italy Red,Red,Northern Italy,4,3,"The wines of Northern Italy include some of the most well known red wines in the country including Nebbiolo, Barbera, Dolcetto, Amarone and Valpolicella.

Arguably, the two most important regions in Northern Italy are Piedmont in the northwest, and Veneto in the northeast. Red wines from these regions range from some of the most expensive and sought after in all of Italy to great value red wines.

Nebbiolo produces some of the most exclusive and expensive red wines in Italy, including Barolo and Barbaresco. However, these sought after wines come with a hefty price tag.

Dolcetto and Barbera from Piedmont offer relative value. Dolcetto is planted on less desirable vineyard sites, and produces fruit-forward, great value wines that are meant to be consumed within 1-2 years of bottling. Barbera is a high yield variety with low tannins and high acidity.

In Veneto, Valpolicella reigns supreme as its own distinct viticultural zone. There are five different tiers within this wine category ranging from inexpensive and light-bodied Valpolicella Classico, to pricey Amarone.

Red wines from Valpolicella are typically based on Corvina, with Rondinella, and Molinara rounding out these blended wines.",134,3.7,,0.04607928112783684,0.09423939107912883,,,,Italy,1,Red
74,"Côte-Rôtie ""Les Rochains"" 2015 Patrick et Bonnefond",Domaine Patrick & Christophe Bonnefond,Cote Rotie,Syrah,Lamb,Bold and Structured,13%,"Wine: Côte-Rôtie ""Les Rochains"" 2015 Patrick et Bonnefond, Source: name-search",Patrick et Christophe Bonnefond Les Rochains Côte-Rôtie,1965218,Patrick et Christophe Bonnefond,Côte-Rôtie,Northern Rhône Côte-Rotie,Côte-Rotie,Northern Rhône,5,3,,324,4.1,,0.38394892840857275,0.21471825420997778,,,"Deep plum/ruby color is followed by aromas of flowers, raspberries, black currants and a hint of smoky bacon fat. This attractive, lush, round ideal for drinking over the next decade. ",France,1,Red
75,Sauvignon Blanc 2018 Te Mata,Te Mata Estate,Hawke's Bay,Sauvignon Blanc,Goats' Cheese and Feta,Green and Flinty,12 - 13%,"Wine: Sauvignon Blanc 2018 Te Mata, Source: name-search",Matua Sauvignon Blanc,2022139,Matua,Marlborough,New Zealand Sauvignon Blanc,Sauvignon Blanc,New Zealand,2,3,"Sauvignon Blanc is the flagship varietal of New Zealand, and is typically a very crisp aromatic wine with notes of grapefruit, tropical fruit and cut grass.

The much-lauded white wines of New Zealand tend to be slightly sweeter than those from Bordeaux and the Loire Valley, and are hugely influenced by the growing conditions of the country.

The grape originates from Bordeaux, where it is also known as Pouilly-Fumé, Sancerre, and Graves, and is one of the world's most widely planted grapes.

Marlborough is the most revered wine-producing region in the small country, accounting for 62% of all wine produced in New Zealand.

The New Zealand Sauvignon Blanc scene started popping in 1970s, with the high quality Sauvignon Blancs coming out of Marlborough illustrating the great potential for grape growing in New Zealand.

Sauvignon Blanc tends to be fermented in stainless steel vats, which results in a clean, crisp flavor, and will not show any of that butteriness that is often prevalent in well-oaked Chardonnay for instance.

When it comes to pairing, think white meat, shellfish, and try to accentuate the herbaceous qualities of the wine with ingredients like parsley and cilantro.",28303,3.9,,0.04145077720207254,0.025973003696839678,,,"The lively nose shows tropical and citrus fruits with subtle herbaceous characters. Its crisp fresh palate offers acidity, structure and length.",New Zealand,2,White
77,Sauvignon Blanc 2018 Oops Wines,Oops,Central Valley - Chile,Sauvignon Blanc,Salads and Green Vegetables,Green and Flinty,13%,"Wine: Sauvignon Blanc 2018 Oops Wines, Source: name-search",OTU Wines Sauvignon Blanc,1766020,OTU Wines,Marlborough,New Zealand Sauvignon Blanc,Sauvignon Blanc,New Zealand,2,3,"Sauvignon Blanc is the flagship varietal of New Zealand, and is typically a very crisp aromatic wine with notes of grapefruit, tropical fruit and cut grass.

The much-lauded white wines of New Zealand tend to be slightly sweeter than those from Bordeaux and the Loire Valley, and are hugely influenced by the growing conditions of the country.

The grape originates from Bordeaux, where it is also known as Pouilly-Fumé, Sancerre, and Graves, and is one of the world's most widely planted grapes.

Marlborough is the most revered wine-producing region in the small country, accounting for 62% of all wine produced in New Zealand.

The New Zealand Sauvignon Blanc scene started popping in 1970s, with the high quality Sauvignon Blancs coming out of Marlborough illustrating the great potential for grape growing in New Zealand.

Sauvignon Blanc tends to be fermented in stainless steel vats, which results in a clean, crisp flavor, and will not show any of that butteriness that is often prevalent in well-oaked Chardonnay for instance.

When it comes to pairing, think white meat, shellfish, and try to accentuate the herbaceous qualities of the wine with ingredients like parsley and cilantro.",162,3.6,,0.18184704276326233,0.12238024275078582,,,"Aromas of passionfruit, lime zest and white nectarine with subtle musky complexity. Fresh and intensely aromatic. The palate is lively and vibrant leading to a mouthwatering finish. Flavours of gooseberry, passionfruit and classic citrus notes, with a long and succulent finish.",New Zealand,2,White
79,Chiroubles 2018 La Grosse Pierre,Domaine de la Grosse Pierre,Chiroubles,Gamay,Chicken and Turkey,Light and Perfumed,12.5%,"Wine: Chiroubles 2018 La Grosse Pierre, Source: name-search",Domaine de la Grosse Pierre Chiroubles,160755787,Domaine de la Grosse Pierre,Chiroubles,Beaujolais Red,Red,Beaujolais,3,3,"Beaujolais is the most southern wine growing region in Burgundy, though it is substantially different from rest of Burgundy, both in climate and in the wine it produces, it is often thought of as its own appellation.

Beaujolais produces light, dry red wines made from Gamay. Perhaps what the region is best known for is Beaujolais Nouveau, a fresh and fruity red wine made for immediate consumption.

Beaujolais is described as a refreshing red with low tannins and bright acidity. Juicy strawberry and raspberry fruit aromas are the hallmark of these wines. The more serious Beaujolais Crus sport mineral and earthy notes, as well as tart cranberry and violet overtones.

Some 35 million bottles of Beaujolais Nouveau are packed and shipped worldwide, within two months of harvest, hitting US shores around Thanksgiving! Roughly one-third of Beaujolais' production is dedicated to producing wines in the quaffable Nouveau style.

The remaining production is typically labeled as Beaujolais-Villages and there are 10 distinctive Crus, which are from distinct vineyard sites. Beaujolais Crus, unlike Nouveau wines, are darker in color, richer and fuller in body and can withstand some aging.

Nouveau is a classic wine at the Thanksgiving table—it loves roasted turkey and cranberry sauce, and it will also pair amiably with smoked salmon or trout, pork chops, quiche and charcuterie.",62,3.9,,0.003105590062111801,0.037737075595533895,,,,France,1,Red
80,Riesling 2018 Michel Nartz,,Alsace,Riesling,Meaty and Oily Fish,Green and Flinty,,"Wine: Riesling 2018 Michel Nartz, Source: name-search",Michel Nartz Riesling,161848327,Michel Nartz,Alsace,Alsace Riesling,Riesling,Alsace,4,3,"Seldom oaked, Alsatian Riesling are typically dry and crisp, with racy acidity and compelling aromas of pears, apples, lemons, flowers and spice.

The region also produces off-dry versions generally labeled as Vendange Tardive (VT or late harvest) and Sélection de Grains Nobles (SGN meaning that the wines have been affected by Noble Rot).

Alsace is a wine growing region in Northeast France that borders Germany. Because Alsace is proximal to Germany, cradled in the shadow of the Vosges Mountain range and just east of the Rhine River, it shares many common grape varieties.

Riesling is the darling of Alsace, and a favorite of wine lovers worldwide, for it is both versatile and budget friendly.

Alsatian Rieslings are terroir-expressive and said to have a fresh and vibrant profile, often with an appealing minerality shining through. This is due, in part to the dry, sunny climate and the soil types found in the region—a mix of granite, limestone, schist and sandstone are typical.

The true beauty of Alsatian Riesling, both the dry and off-dry version, is that they are extraordinarily food friendly. Try dry Rieslings with fish tacos, sushi, smoked fish, asparagus and, one of our favorites, goat cheese. Off-dry Rieslings have an affinity with Thai food, curries, shrimp cocktail and, another one of our favorites, apple pie.",12,3.9,,0.11334607797588674,0.1485486013303641,,,,France,2,White
81,Pinot Blanc 2018 Emile Beyer,Maison Emile Beyer,Alsace,Pinot d'Alsace,"Duck, Goose and Game Birds",Aromatic and Floral,12.5 - 13.4%,"Wine: Pinot Blanc 2018 Emile Beyer, Source: name-search",Emile Beyer Pinot Blanc Tradition,2868286,Emile Beyer,Alsace,Alsace Pinot Blanc,Pinot Blanc,Alsace,4,3,,636,3.9,,0.0210589651022864,0.04197709449436299,,,,France,2,White
82,"2018 Francois Baur Pinot Noir Schlittweg, Alsace, France",Vineyards Francois Baur,Alsace,Pinot Noir,Chicken and Turkey,Light and Perfumed,13%,"Wine: Pinot Noir Schlittweg 2018 François Baur, Source: name-search",Francois Baur Schlittweg Pinot Noir,128995487,Francois Baur,Alsace,Alsace Pinot Noir,Pinot Noir,Alsace,3,3,"Pinot Noir from Alsace, France, produces light-bodied, rustic wines that show flavors and aromas of cherries, cranberries, strawberries and raspberries with supple, soft tannins. Skilled producers are able to coax out more earthy complexity in their wines.

Not long ago, it was extremely difficult to make a good quality Pinot Noir from the region. The climate was too cool to ripen the grapes, which meant that wines of poor quality with little to no fruit were the norm. But warmer summers, as a result of climate change, now make it easier for grapes to ripen in this region.

Pinot Noir is the only red grape authorized in the Alsace AOC, located in the northeastern corner of France, sharing a border with Germany.",50,4.0,,0.053130640751262385,0.08210123940397365,,,,France,1,Red
83,"2015 Domaine Bechtold Riesling Sussenberg, Alsace, France",Domaine Bechtold,Alsace,Riesling,Meaty and Oily Fish,Green and Flinty,null,"Wine: Riesling ""Sussenberg"" 2015 Bechtold, Source: name-search",Domaine Bechtold Sussenberg Riesling,4817719,Domaine Bechtold,Alsace,Alsace Riesling,Riesling,Alsace,4,3,"Seldom oaked, Alsatian Riesling are typically dry and crisp, with racy acidity and compelling aromas of pears, apples, lemons, flowers and spice.

The region also produces off-dry versions generally labeled as Vendange Tardive (VT or late harvest) and Sélection de Grains Nobles (SGN meaning that the wines have been affected by Noble Rot).

Alsace is a wine growing region in Northeast France that borders Germany. Because Alsace is proximal to Germany, cradled in the shadow of the Vosges Mountain range and just east of the Rhine River, it shares many common grape varieties.

Riesling is the darling of Alsace, and a favorite of wine lovers worldwide, for it is both versatile and budget friendly.

Alsatian Rieslings are terroir-expressive and said to have a fresh and vibrant profile, often with an appealing minerality shining through. This is due, in part to the dry, sunny climate and the soil types found in the region—a mix of granite, limestone, schist and sandstone are typical.

The true beauty of Alsatian Riesling, both the dry and off-dry version, is that they are extraordinarily food friendly. Try dry Rieslings with fish tacos, sushi, smoked fish, asparagus and, one of our favorites, goat cheese. Off-dry Rieslings have an affinity with Thai food, curries, shrimp cocktail and, another one of our favorites, apple pie.",73,3.8,,0.07343544124479243,0.10585007613951766,,,,France,2,White
85,Nardo Rosso Roccamora 2016 Schola Sarmenti,Schola Sarmenti,Nardo,Negroamaro,Beef and Venison,Rich and Intense,13.5 - 14%,"Wine: Nardo Rosso Roccamora 2016 Schola Sarmenti, Source: name-search",Schola Sarmenti Roccamora Negroamaro,1785418,Schola Sarmenti,Nardò,Southern Italy Red,Red,Southern Italy,4,3,"Southern Italy is the toe, heel, and ankle of the Italian “boot” where we find the regions Campania, Basilicata, Puglia, Calabria, and Sicily as well as the distant relative Sardegna. There are scores of fascinating indigenous grape varieties here, different winemaking traditions and styles are defining each region, and the wines are often less expensive than their Northern counterparts.

Puglia and Sicily are producing huge volumes of wine, and they are battling to be the second biggest wine producing region in Italy. The hot climate is reflected in the wines and they are famous for their inexpensive, full bodied, warm, and fruit forward red wines based on Primitivo and Nero d’Avola. Less famous yet very interesting are the Sicilian wines from Mount Etna. The higher altitude yields wines that are lighter, fresh and complex. The indigenous grape Nerello Mascalese offers some fine examples.

In Campania and the northern part of Basilicata, winemakers have been finding success with the grape Aglianico (pronounced “ahl-YAH-nee-koe”). The slightly colder climate is ideal for this grape and produces wines that are garnet-colored with high tannins and acidity. Harsh when young, but after some aging they become elegant and complex, and reveal lovely plummy flavors with a hint of chocolate.

In Sardegna they lean more towards the grapes Carignano and Cannonau with French/Spanish origin. The wines here are often powerful with a spicy touch.",4398,3.8,,0.07171236891812675,0.06102433996890827,,,"It is a vigorous wine that will tantalize your palate with its velvety structure, softened by a light tannin that leaves a nicely slightly bitter aftertaste.",Italy,1,Red
86,Gattinara 2015 Nervi,Azienda Vitivinicola Nervi,Gattinara,Nebbiolo,Lamb,Savory and Classic,13 - 13.5%,"Wine: Gattinara 2015 Nervi, Source: name-search",Nervi Gattinara,2541897,Nervi,Gattinara,Italian Nebbiolo,Nebbiolo,Italian,5,3,,7484,4.0,,0.036699658775406395,0.025752535456298613,,,"Intense aromas suggest violet, rose, perfumed berry, leather and spice, with balsamic notes. The focused palate delivers sour cherry, crushed raspberry, leather, mineral and white pepper alongside polished tannins.",Italy,1,Red
87,Gattinara 2015 Nervi,Azienda Vitivinicola Nervi,Gattinara,Nebbiolo,Lamb,Savory and Classic,13 - 13.5%,"Wine: Gattinara 2015 Nervi, Source: name-search",Nervi Gattinara,2541897,Nervi,Gattinara,Italian Nebbiolo,Nebbiolo,Italian,5,3,,7484,4.0,,0.036699658775406395,0.025752535456298613,,,"Intense aromas suggest violet, rose, perfumed berry, leather and spice, with balsamic notes. The focused palate delivers sour cherry, crushed raspberry, leather, mineral and white pepper alongside polished tannins.",Italy,1,Red
89,"Bonarda ""Serie A"" 2015 Zuccardi",Familia Zuccardi,Mendoza,Charbono (Bonarda),Beef and Venison,Rich and Intense,13 - 14%,"Wine: Bonarda ""Serie A"" 2015 Zuccardi, Source: name-search",Zuccardi Serie A Bonarda,1470535,Zuccardi,Mendoza,Argentinian Bonarda,Bonarda,Argentinian,3,3,,6797,3.6,,0.26472534745201853,0.11616302573483199,,,"Deep and intense red color with violet hues.Intense and attractive aromas of plum and blackberries. 
A soft and persistent finish.",Argentina,1,Red
90,"2018 Bella Vita Montepulciano d'Abruzzo, Italy",Natural Wine Company,Montepulciano d'Abruzzo,Montepulciano,Beef and Venison,Bold and Structured,null,"Wine: Montepulciano 1.5L 2018 Bella Vita, Source: name-search",Cantina Tollo Bell'Italia Montepulciano d'Abruzzo,158788627,Cantina Tollo,Montepulciano d'Abruzzo,Italian Montepulciano d'Abruzzo,Montepulciano d'Abruzzo,Italian,3,3,"The grape Montepulciano can be grown in most of Italy, but the biggest region for it is Abruzzo. The region produces wine in two main styles—one soft and approachable, the other rich and more tannic.

Montepulciano d'Abruzzo is a good region for good value, but often the wines are not quite as great as they could be.

There is really only one fine wine in Abruzzo and it is Montepulciano d'Abruzzo. At its best, the grape Montepulciano can produce wines that are dry, rich, powerful, and dark in color. However, often the quality is a little low and it can be uninteresting.

This wine can be pretty similar to Chianti in style. This is not surprising given that it can have up to 15% Sangiovese in it. Blending with Sangiovese adds body and complexity with flavor ranging from fruity to Savory. ines.

There is often an aroma common to wines from Montepulciano d'Abruzzo that can be described as “animal”. It can be very seductive in small amounts, but can be pretty terrible if strong.",271,3.8,,0.046115575966322236,0.0651302825586685,,,,Italy,1,Red
91,Montepulciano d'Abruzzo 2018 Coste di Brenta,Masseria Coste di Brenta,Montepulciano d'Abruzzo,Montepulciano,Beef and Venison,Bold and Structured,,"Wine: Montepulciano d'Abruzzo 2018 Coste di Brenta, Source: name-search",Masseria Coste di Brenta Montepulciano d'Abruzzo,3763992,Masseria Coste di Brenta,Montepulciano d'Abruzzo,Italian Montepulciano d'Abruzzo,Montepulciano d'Abruzzo,Italian,3,3,"The grape Montepulciano can be grown in most of Italy, but the biggest region for it is Abruzzo. The region produces wine in two main styles—one soft and approachable, the other rich and more tannic.

Montepulciano d'Abruzzo is a good region for good value, but often the wines are not quite as great as they could be.

There is really only one fine wine in Abruzzo and it is Montepulciano d'Abruzzo. At its best, the grape Montepulciano can produce wines that are dry, rich, powerful, and dark in color. However, often the quality is a little low and it can be uninteresting.

This wine can be pretty similar to Chianti in style. This is not surprising given that it can have up to 15% Sangiovese in it. Blending with Sangiovese adds body and complexity with flavor ranging from fruity to Savory. ines.

There is often an aroma common to wines from Montepulciano d'Abruzzo that can be described as “animal”. It can be very seductive in small amounts, but can be pretty terrible if strong.",327,3.5,,0.13083620359739762,0.151673019452847,,,,Italy,1,Red
